"country","avg_sentiment","tweet_count","hashtag"
"Afghanistan",0.045045095790772,220,"#Biden"
"Albania",0.00581108133444555,135,"#Biden"
"Algeria",0.00205648921929886,73,"#Biden"
"Angola",-0.000463897644087363,78,"#Biden"
"Anguilla",0.331275402142928,5,"#Biden"
"Antigua and Barbuda",-0.143217888674438,5,"#Biden"
"Argentina",-0.0099434632571357,4404,"#Biden"
"Armenia",0.0266181061437181,197,"#Biden"
"Australia",0.0185721363651795,14899,"#Biden"
"Austria",-0.00835304999190725,2151,"#Biden"
"Azerbaijan",0.0191087201884318,807,"#Biden"
"Bahamas",0.00458853029900533,32,"#Biden"
"Bahrain",0.0173784881618532,402,"#Biden"
"Bangladesh",0.0801286453523684,3507,"#Biden"
"Barbados",-0.00728111756459124,42,"#Biden"
"Belarus",0.0374115093145453,11,"#Biden"
"Belgium",0.013936351286341,3823,"#Biden"
"Belize",0.199589569359116,15,"#Biden"
"Benin",0.33203915431768,3,"#Biden"
"Bolivia",-0.0247557521346447,373,"#Biden"
"Bosnia and Herzegovina",-0.00841227128429092,532,"#Biden"
"Brazil",0.0104133750879674,8735,"#Biden"
"British Virgin Islands",0.227187335841638,10,"#Biden"
"Bulgaria",0.0265087002939115,252,"#Biden"
"Burkina Faso",0.037458905107411,25,"#Biden"
"California",0,2,"#Biden"
"Cambodia",-0.114611120288431,152,"#Biden"
"Cameroon",0.0127988836289214,168,"#Biden"
"Canada",0.0306682711000424,27805,"#Biden"
"Cayman Islands",-0.126780152460404,8,"#Biden"
"Chile",-0.0114952347892508,3844,"#Biden"
"China",0.0151379228073637,2663,"#Biden"
"Colombia",-0.000104490782176342,4425,"#Biden"
"Congo",-0.133794842914126,5,"#Biden"
"Congo-Brazzaville",0.00814524186533536,26,"#Biden"
"Costa Rica",0.0046606277337606,1233,"#Biden"
"Croatia",0.11500974984828,44,"#Biden"
"Cuba",-0.0113945595398073,1437,"#Biden"
"Cyprus",0.00395674994994645,333,"#Biden"
"Czech Republic",0.029868840082514,422,"#Biden"
"Côte d'Ivoire",0.0220550871109977,30,"#Biden"
"Democratic Republic of the Congo",0.00738604747196177,14,"#Biden"
"Denmark",0.0339333009179298,1015,"#Biden"
"Djibouti",0.0673177336816441,17,"#Biden"
"Dominica",-0.0489800047507615,5,"#Biden"
"Dominican Republic",0.00173516610730503,1139,"#Biden"
"East Timor",0.218350332934587,1,"#Biden"
"Ecuador",-0.0132368758277241,1696,"#Biden"
"Egypt",0.0183026117191696,2364,"#Biden"
"El Salvador",-0.000157905994214497,698,"#Biden"
"England",0,2,"#Biden"
"Estonia",0.060484409870131,156,"#Biden"
"Ethiopia",0.0362950865964871,508,"#Biden"
"Falkland Islands",-0.0286104540493156,19,"#Biden"
"Faroe Islands",0.00343484826983531,10,"#Biden"
"Federated States of Micronesia",0.113545552940626,5,"#Biden"
"Fiji",0.037623677555984,44,"#Biden"
"Finland",0.0184050523283347,2374,"#Biden"
"France",-5.74471340802602e-05,35292,"#Biden"
"Gabon",-0.0399132473818765,4,"#Biden"
"Georgia",0.021519181101722,3107,"#Biden"
"Germany",-0.023218753045831,35379,"#Biden"
"Ghana",0.0726898477980487,558,"#Biden"
"Gibraltar",0.0653914933912539,23,"#Biden"
"Greece",0.0147214605346991,2119,"#Biden"
"Greenland",0.0326016427659896,52,"#Biden"
"Grenada",0.103930307147847,31,"#Biden"
"Guatemala",-0.00593079531641092,657,"#Biden"
"Guinea",-0.0640460359515802,21,"#Biden"
"Guyana",0.115195475513716,28,"#Biden"
"Haiti",-0.0136989779040398,230,"#Biden"
"Honduras",-0.012264314188767,803,"#Biden"
"Hong Kong",-0.00541048560947428,42,"#Biden"
"Hungary",0.0256220327841193,350,"#Biden"
"Iceland",0.0590648287842198,159,"#Biden"
"India",0.0711709530030401,40088,"#Biden"
"Indonesia",0.0163466891835606,1842,"#Biden"
"Iran",0.00793593913243083,1388,"#Biden"
"Iraq",0.0222132792128679,631,"#Biden"
"Ireland",0.0432833688516766,5452,"#Biden"
"Isle of Man",-0.0414088147748838,5,"#Biden"
"Israel",0.00668523095177876,1425,"#Biden"
"Italy",0.00397344741827312,20073,"#Biden"
"Jamaika",0.0628423940281175,348,"#Biden"
"Japan",0.0137534179421186,1171,"#Biden"
"Jersey",-0.0303543001749379,342,"#Biden"
"Jordan",0.0622147082982164,95,"#Biden"
"Kazakhstan",-0.0179268454521727,35,"#Biden"
"Kenya",0.074424649347981,1693,"#Biden"
"Kosovo",0.0856168783728109,110,"#Biden"
"Kuwait",0.0411501432227214,269,"#Biden"
"Laos",-0.01397291481158,21,"#Biden"
"Latvia",0.0535657645901689,64,"#Biden"
"Lebanon",0.0124641124353035,1834,"#Biden"
"Lesotho",0.0661741875411597,1,"#Biden"
"Liberia",-0.0128826442959236,142,"#Biden"
"Libya",0.0121062061916079,194,"#Biden"
"Liechtenstein",0.00164098914693984,6,"#Biden"
"Lithuania",-0.0236738582424746,211,"#Biden"
"Luxembourg",0.0165265300764283,285,"#Biden"
"Madagascar",-0.00682391184478985,5,"#Biden"
"Malaysia",0.0551983562768676,1398,"#Biden"
"Maldives",0.0999288068480165,78,"#Biden"
"Mali",0,2,"#Biden"
"Malta",0.041518781122334,216,"#Biden"
"Mauritius",0.0864608166256851,16,"#Biden"
"Mexico",-0.0106255653861812,10899,"#Biden"
"Moldova",-0.00671795581875068,18,"#Biden"
"Monaco",0.0273805453023196,89,"#Biden"
"Mongolia",-0.0281118415386984,273,"#Biden"
"Montenegro",-0.00830030447528498,11,"#Biden"
"Morocco",0.0394781386587835,296,"#Biden"
"Myanmar",0.11695502683754,75,"#Biden"
"Namibia",0.10572679115067,24,"#Biden"
"Nepal",0.100980169201201,338,"#Biden"
"Netherlands",0.010259136726979,5279,"#Biden"
"New Zealand",0.0364808252349795,1597,"#Biden"
"Nicaragua",-0.0198085986300839,343,"#Biden"
"Niger",0.0883460779106501,17,"#Biden"
"Nigeria",0.0898984484596122,3810,"#Biden"
